url,createdAt,id,isReply,inReplyToId,isRetweet,isQuote,viewCount,retweetCount,likeCount,replyCount,lang,author__createdAt,author__location,author__followers,author__verified,text,sentiment,sentiment_label,sentiment_numeric,date
https://x.com/UHN_Plus/status/1754288067093950586,2024-02-04 23:37:22+00:00,1754288067093950586,False,None,False,False,3140522,7867,64116,841,es,2023-02-14 19:27:11+00:00,,740175,True,🇸🇻 | ÚLTIMA HORA: Nayib Bukele es reelecto como Presidente de El Salvador. https://t.co/6UQRk3KvkO,"AnalyzerOutput(output=NEU, probas={NEU: 0.648, NEG: 0.265, POS: 0.087})",NEU,POS,2024-02-04
https://x.com/pobreysintierra/status/1754288336112324883,2024-02-04 23:38:27+00:00,1754288336112324883,True,1754288067093950586,False,False,551,0,3,0,qme,2023-10-26 22:02:00+00:00,,10,False,@UHN_Plus 🥱,"AnalyzerOutput(output=NEG, probas={NEG: 0.555, NEU: 0.408, POS: 0.036})",NEG,POS,2024-02-04
https://x.com/Eduardo78122204/status/1754288437727834314,2024-02-04 23:38:51+00:00,1754288437727834314,True,1754288067093950586,False,False,1227,0,5,3,es,2015-11-13 13:12:21+00:00,"Santa Tecla, El Salvador",32,False,"@UHN_Plus Es ilegal!
Fraude !","AnalyzerOutput(output=NEG, probas={NEG: 0.872, NEU: 0.108, POS: 0.019})",NEG,POS,2024-02-04
https://x.com/Gabriel96070715/status/1754288592107589718,2024-02-04 23:39:28+00:00,1754288592107589718,True,1754288067093950586,False,False,40,0,0,0,es,2021-05-19 09:15:25+00:00,Argentina,823,False,@UHN_Plus Excelente noticia 😄👍🏻 https://t.co/ejKSGRldCm,"AnalyzerOutput(output=POS, probas={POS: 0.863, NEU: 0.126, NEG: 0.011})",POS,POS,2024-02-04
https://x.com/AaronRios90/status/1754288755345674340,2024-02-04 23:40:07+00:00,1754288755345674340,True,1754288067093950586,False,True,7964,7,40,1,es,2018-08-01 20:59:18+00:00,"Callao, Perú",1140,False,"@UHN_Plus #URGENTE. La encuestadora CIP Gallup le otorga el 87% de intención de voto al mandatario Nayib Bukele.
El presidente de El Salvador que optaba por la reelección logró una categórica victoria con números aún mejores de los sondeos previos.
https://t.co/AxHtWpxZ9W","AnalyzerOutput(output=NEU, probas={NEU: 0.715, POS: 0.175, NEG: 0.110})",NEU,POS,2024-02-04
https://x.com/Marfil37/status/1754288792859451823,2024-02-04 23:40:15+00:00,1754288792859451823,True,1754288067093950586,False,False,587,0,8,0,es,2011-05-21 20:24:58+00:00,Spain,420,False,@UHN_Plus Renace El Salvador ✝️,"AnalyzerOutput(output=NEU, probas={NEU: 0.715, POS: 0.223, NEG: 0.062})",NEU,POS,2024-02-04
https://x.com/LuisAld8/status/1754288827403829312,2024-02-04 23:40:24+00:00,1754288827403829312,True,1754288067093950586,False,False,427,0,2,1,es,2022-07-17 20:56:53+00:00,,0,False,@UHN_Plus La dictadura continúa!,"AnalyzerOutput(output=NEG, probas={NEG: 0.827, NEU: 0.148, POS: 0.025})",NEG,POS,2024-02-04
https://x.com/PepBohrquez/status/1754288963953578307,2024-02-04 23:40:56+00:00,1754288963953578307,True,1754288067093950586,False,False,617,0,2,0,es,2017-07-20 01:18:30+00:00,,999,False,@UHN_Plus Felicitaciones @nayibbukele saludos desde #Ecuador,"AnalyzerOutput(output=POS, probas={POS: 0.796, NEU: 0.187, NEG: 0.017})",POS,POS,2024-02-04
https://x.com/h_e_b_e/status/1754289021214249317,2024-02-04 23:41:10+00:00,1754289021214249317,True,1754288067093950586,False,False,4000,0,15,2,es,2014-06-15 15:13:08+00:00,,121,False,"@UHN_Plus Sin comentarios 

Aún no ha nacido alguien q se pueda parar al lado de este señor 🤫","AnalyzerOutput(output=NEG, probas={NEG: 0.572, NEU: 0.413, POS: 0.014})",NEG,POS,2024-02-04
https://x.com/h_e_b_e/status/1754289048405823922,2024-02-04 23:41:16+00:00,1754289048405823922,True,1754288067093950586,False,False,1270,0,2,0,qme,2014-06-15 15:13:08+00:00,,121,False,@UHN_Plus 🫡,"AnalyzerOutput(output=NEU, probas={NEU: 0.793, POS: 0.123, NEG: 0.084})",NEU,POS,2024-02-04
